app_name,time_created,count
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-07,1311
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-14,1288
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-01-13,1324
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-14,1050
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-01,1344
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-27,1090
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-19,1065
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-01-12,1616
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-22,1214
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-23,1217
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-13,966
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-11,1493
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-18,1226
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-01-29,1216
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-01-04,1974
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-28,1074
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-29,1121
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-21,1111
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-02,1379
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-30,942
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-02,936
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-17,1156
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-06,1420
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-07,1038
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-18,1819
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-01-21,1421
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-01-14,1375
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-22,1106
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-16,1254
PLAYERUNKNOWN'S BATTLEGROUNDS,2020-02-25,1211
Rocket League,2020-11-10,244
Rocket League,2020-11-07,272
Rocket League,2020-03-03,223
Rocket League,2020-04-05,440
Rocket League,2020-07-13,259
Rocket League,2020-01-30,289
Rocket League,2020-03-10,598
Rocket League,2020-05-01,330
Rocket League,2020-04-10,452
Rocket League,2020-10-04,438
Rocket League,2020-01-28,330
Rocket League,2020-05-30,254
Rocket League,2020-01-20,359
Rocket League,2020-04-15,651
Rocket League,2020-03-15,426
Rocket League,2020-02-10,266
Rocket League,2020-01-10,348
Rocket League,2020-11-06,298
Rocket League,2020-06-27,470
Rocket League,2020-05-16,236
Rocket League,2020-03-31,434
Rocket League,2020-02-18,262
Rocket League,2020-12-28,291
Rocket League,2020-10-08,317
Rocket League,2020-03-07,309
Rocket League,2020-01-18,417
Rocket League,2020-08-24,233
Rocket League,2020-01-08,347
Rocket League,2020-08-17,218
Rocket League,2020-04-23,349
Rocket League,2020-10-11,353
Rocket League,2020-06-09,233
Rocket League,2020-07-24,263
Rocket League,2020-12-22,294
Rocket League,2020-03-18,416
